Category;Criteria;attribute;string_condition;min_value;max_value;value;weight
Sidewalk quality;Sidewalk availability ;sidewalk;yes;;;1.0;0.07
Sidewalk quality;Sidewalk availability ;sidewalk;no;;;0.0;0.07
Sidewalk quality;Sidewalk availability ;sidewalk;no_data;;;0.0;0.07
Sidewalk quality;Sidewalk availability ;sidewalk;right;;;0.5;0.07
Sidewalk quality;Sidewalk availability ;sidewalk;left;;;1.0;0.07
Sidewalk quality;Sidewalk availability ;sidewalk;both;;;1.0;0.07
Sidewalk quality;Sidewalk availability ;sidewalk;none;;;0.0;0.07
Sidewalk quality;Sidewalk availability ;sidewalk;separate;;;0.0;0.07
Sidewalk quality;Sidewalk width ;width;;3;;1.0;0.07
Sidewalk quality;Sidewalk width ;width;;3;1.50;0.5;0.07
Sidewalk quality;Sidewalk width ;width;;1.50;;0.2;0.07
Sidewalk quality;Pavement quality;smoothness;excellent;;;1.0;0.035
Sidewalk quality;Pavement quality;smoothness;very_good;;;1.0;0.035
Sidewalk quality;Pavement quality;smoothness;good;;;0.9;0.035
Sidewalk quality;Pavement quality;smoothness;intermediate;;;0.5;0.035
Sidewalk quality;Pavement quality;smoothness;bad;;;0.2;0.035
Sidewalk quality;Pavement quality;smoothness;very_bad;;;0.1;0.035
Sidewalk quality;Pavement quality;smoothness;horrible;;;0.1;0.035
Sidewalk quality;Pavement quality;smoothness;very_horrible;;;0.1;0.035
Sidewalk quality;Pavement quality;smoothness;impassable ;;;0.0;0.035
Sidewalk quality;Pavement quality;smoothness;no_data;;;0.5;0.035
Sidewalk quality;Pavement quality;surface;paved;;;1.0;0.035
Sidewalk quality;Pavement quality;surface;asphalt;;;1.0;0.035
Sidewalk quality;Pavement quality;surface;concrete;;;1.0;0.035
Sidewalk quality;Pavement quality;surface;concrete:lanes;;;1.0;0.035
Sidewalk quality;Pavement quality;surface;paving_stones;;;1.0;0.035
Sidewalk quality;Pavement quality;surface;cobblestone:flattened;;;1.0;0.035
Sidewalk quality;Pavement quality;surface;stone;;;0.8;0.035
Sidewalk quality;Pavement quality;surface;sandstone;;;0.8;0.035
Sidewalk quality;Pavement quality;surface;sett;;;0.8;0.035
Sidewalk quality;Pavement quality;surface;metal;;;0.8;0.035
Sidewalk quality;Pavement quality;surface;unhewn_cobblestone;;;0.8;0.035
Sidewalk quality;Pavement quality;surface;cobblestone;;;0.8;0.035
Sidewalk quality;Pavement quality;surface;unpaved;;;0.5;0.035
Sidewalk quality;Pavement quality;surface;compacted;;;0.5;0.035
Sidewalk quality;Pavement quality;surface;fine_gravel;;;0.3;0.035
Sidewalk quality;Pavement quality;surface;metal_grid;;;0.3;0.035
Sidewalk quality;Pavement quality;surface;gravel;;;0.3;0.035
Sidewalk quality;Pavement quality;surface;pebblestone;;;0.3;0.035
Sidewalk quality;Pavement quality;surface;rock;;;0.3;0.035
Sidewalk quality;Pavement quality;surface;wood;;;0.3;0.035
Sidewalk quality;Pavement quality;surface;ground;;;0.3;0.035
Sidewalk quality;Pavement quality;surface;dirt;;;0.3;0.035
Sidewalk quality;Pavement quality;surface;earth;;;0.3;0.035
Sidewalk quality;Pavement quality;surface;grass;;;0.2;0.035
Sidewalk quality;Pavement quality;surface;grass_paver;;;0.2;0.035
Sidewalk quality;Pavement quality;surface;mud;;;0.2;0.035
Sidewalk quality;Pavement quality;surface;sand;;;0.2;0.035
Sidewalk quality;Pavement quality;surface;no_data;;;0.5;0.035
Sidewalk quality;Freedom from barriers;wheelchair;yes;;;1.0;0.07
Sidewalk quality;Freedom from barriers;wheelchair;limited;;;0.5;0.07
Sidewalk quality;Freedom from barriers;wheelchair;no;;;0.0;0.07
Sidewalk quality;Freedom from barriers;wheelchair;unclassified;;;0.5;0.07
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Number of lanes ;lanes;;0;2;1.0;0.03
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Number of lanes ;lanes;;3;4;0.5;0.03
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Number of lanes ;lanes;;4;;0.0;0.03
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Noise;noise;;;;;0.03
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Noise;noise;;;;;0.03
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;(One way road);one_way;yes;;;1.0;0.03
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;(One way road);one_way;no;;;0.0;0.03
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Speed limits ;maxspeed;;0;40;1.0;0.06
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Speed limits ;maxspeed;;40;60;0.5;0.06
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Speed limits ;maxspeed;;60;;0.0;0.06
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Parking vehicles on the road or on the sidewalk ;parking;lane;;;1.0;0.03
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Parking vehicles on the road or on the sidewalk ;parking;no;;;0.0;0.03
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Accidents;accidents;;;;;0.03
Impacts from Road Traffic (Traffic Safety. Noise. Emission) ;Accidents;accidents;;;;;0.03
Security;Illumination;lit_classified;yes;;;1.0;0.14
Security;Illumination;lit_classified;no;;;0.0;0.14
Grünindex (number of tress. etc.);Vegetation ;Presence of trees;yes;;;1;0.14
Grünindex (number of tress. etc.);Vegetation ;Presence of trees;no;;;0;0.14
Attractiveness of the walking environment;Land-use ;land_use;industrial;;;0;0.05
Attractiveness of the walking environment;Land-use ;land_use;military;;;0;0.05
Attractiveness of the walking environment;Land-use ;land_use;transportation;;;0.2;0.05
Attractiveness of the walking environment;Land-use ;land_use;cemetery;;;0.4;0.05
Attractiveness of the walking environment;Land-use ;land_use;agriculture;;;0.7;0.05
Attractiveness of the walking environment;Land-use ;land_use;residential;;;0.8;0.05
Attractiveness of the walking environment;Land-use ;land_use;commercial;;;0.8;0.05
Attractiveness of the walking environment;Land-use ;land_use;leisure;;;1;0.05
Attractiveness of the walking environment;Land-use ;land_use;communtity;;;1;0.05
Attractiveness of the walking environment;Land-use ;land_use;water;;;1;0.05
Attractiveness of the walking environment;Land-use ;land_use;nature;;;1;0.05
Attractiveness of the walking environment;Land-use ;land_use;null;;;0.5;0.05
Attractiveness of the walking environment;Population density;population;high;;;1;0.05
Attractiveness of the walking environment;Population density;population;medium;;;0.7;0.05
Attractiveness of the walking environment;Population density;population;low;;;0.5;0.05
Attractiveness of the walking environment;Population density;population;no;;;0.2;0.05
Attractiveness of the walking environment;POIs. liveliness ;liveliness;high;;;1;0.04
Attractiveness of the walking environment;POIs. liveliness ;liveliness;medium;;;0.7;0.04
Attractiveness of the walking environment;POIs. liveliness ;liveliness;low;;;0.5;0.04
Attractiveness of the walking environment;POIs. liveliness ;liveliness;no;;;0.2;0.04
Comfort;Urban equipment (bench. trash cans. info panels);equipment;yes;;;1;0.02
Comfort;Urban equipment (bench. trash cans. info panels);equipment;no;;;0;0.02
Comfort;Slope of the sidewalk;slope;;0;0.09;1;0.04
Comfort;Slope of the sidewalk;slope;;0.1;0.6;0.5;0.04
Comfort;Slope of the sidewalk;slope;;0.6;;0;0.04
Comfort;Public toilets;toilets;yes;;;1;0.02
Comfort;Public toilets;toilets;no;;;0;0.02
Comfort;Drinking fountains;drinking_fountain;yes;;;1;0.02
Comfort;Drinking fountains;drinking_fountain;no;;;0;0.02
